--------- beginning of main
06-30 16:51:06.508  2719  3236 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:06.515  2719  3236 I KASPRESSO: Logcat buffer may be dumped from 06-30 16:51:06.508
06-30 16:51:07.340  2719  3236 I KASPRESSO: Starting video recording: Video_AddNewGoalTest.mp4
06-30 16:51:07.344  2719  3236 I KASPRESSO: Waiting for 3000 ms
06-30 16:51:07.399  2719  3417 D KASPRESSO: Display resolution: 1080x1794; supported codec resolution: 2048x2048
06-30 16:51:07.399  2719  3417 D KASPRESSO: Starting video recording with resolution 1080x1794
06-30 16:51:10.344  2719  3236 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:10.344  2719  3236 I KASPRESSO: BEFORE TEST SECTION
06-30 16:51:10.344  2719  3236 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:10.345  2719  3236 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:10.345  2719  3236 I KASPRESSO: TEST SECTION
06-30 16:51:10.345  2719  3236 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:10.345  2719  3236 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:10.345  2719  3236 I KASPRESSO: TEST STEP: "1. Open the goal creation screen" in AddNewGoalTest
06-30 16:51:10.348  2719  3236 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
06-30 16:51:10.348  2719  3236 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'NewGoalButton'); position: 0; useUnmergedTree: false.
06-30 16:51:12.539  2719  3236 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 16:51:12.539  2719  3236 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'NewGoalButton'); position: 0; useUnmergedTree: false.
06-30 16:51:12.757  2719  3236 I KASPRESSO: TEST STEP: "1. Open the goal creation screen" in AddNewGoalTest SUCCEED. It took 0 minutes, 2 seconds and 412 millis. 
06-30 16:51:12.757  2719  3236 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:14.150  2719  3236 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_1.png
06-30 16:51:14.153  2719  3236 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:14.153  2719  3236 I KASPRESSO: TEST STEP: "2. Enter the goal title" in AddNewGoalTest
06-30 16:51:14.156  2719  3236 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
06-30 16:51:14.156  2719  3236 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleInput'); position: 0; useUnmergedTree: false.
06-30 16:51:15.827  2719  3236 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 16:51:15.827  2719  3236 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleInput'); position: 0; useUnmergedTree: false.
06-30 16:51:16.338  2719  3236 I KASPRESSO: Operation: Perform=PERFORM_TEXT_INPUT(description={null}).
06-30 16:51:16.338  2719  3236 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleInput'); position: 0; useUnmergedTree: false.
06-30 16:51:17.206  2719  3236 I KASPRESSO: TEST STEP: "2. Enter the goal title" in AddNewGoalTest SUCCEED. It took 0 minutes, 3 seconds and 53 millis. 
06-30 16:51:17.206  2719  3236 I KASPRESSO: ___________________________________________________________________________
