--------- beginning of main
06-30 16:51:35.683  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:35.694  4440  4465 I KASPRESSO: Logcat buffer may be dumped from 06-30 16:51:35.683
06-30 16:51:35.929  4440  4465 I KASPRESSO: Starting video recording: Video_EditGoalTest.mp4
06-30 16:51:35.930  4440  4465 I KASPRESSO: Waiting for 3000 ms
06-30 16:51:36.024  4440  4586 D KASPRESSO: Display resolution: 1080x1794; supported codec resolution: 2048x2048
06-30 16:51:36.024  4440  4586 D KASPRESSO: Starting video recording with resolution 1080x1794
06-30 16:51:38.930  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:38.930  4440  4465 I KASPRESSO: BEFORE TEST SECTION
06-30 16:51:38.930  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:38.931  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:38.931  4440  4465 I KASPRESSO: TEST SECTION
06-30 16:51:38.931  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:38.931  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:38.931  4440  4465 I KASPRESSO: TEST STEP: "1. Open the goal editor" in EditGoalTest
06-30 16:51:38.933  4440  4465 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 16:51:38.933  4440  4465 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'EditGoalButton'); position: 0; useUnmergedTree: false.
06-30 16:51:40.471  4440  4465 I KASPRESSO: TEST STEP: "1. Open the goal editor" in EditGoalTest SUCCEED. It took 0 minutes, 1 seconds and 540 millis. 
06-30 16:51:40.471  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:41.467  4440  4465 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_1.png
06-30 16:51:41.468  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:41.468  4440  4465 I KASPRESSO: TEST STEP: "2. Edit the goal title" in EditGoalTest
06-30 16:51:41.498  4440  4465 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
