--------- beginning of main
06-30 17:26:09.760  2811  3084 I KASPRESSO: Logcat buffer may be dumped from 06-30 17:26:09.665
06-30 17:26:10.166  2811  3084 I KASPRESSO: Starting video recording: Video_AddNewGoalTest.mp4
06-30 17:26:10.167  2811  3084 I KASPRESSO: Waiting for 3000 ms
06-30 17:26:10.209  2811  3320 D KASPRESSO: Display resolution: 1080x1794; supported codec resolution: 2048x2048
06-30 17:26:10.209  2811  3320 D KASPRESSO: Starting video recording with resolution 1080x1794
06-30 17:26:13.167  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:13.167  2811  3084 I KASPRESSO: BEFORE TEST SECTION
06-30 17:26:13.167  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:13.168  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:13.168  2811  3084 I KASPRESSO: TEST SECTION
06-30 17:26:13.168  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:13.168  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:13.168  2811  3084 I KASPRESSO: TEST STEP: "1. Open the goal creation screen" in AddNewGoalTest
06-30 17:26:13.173  2811  3084 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
06-30 17:26:13.173  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'NewGoalButton'); position: 0; useUnmergedTree: false.
06-30 17:26:14.714  2811  3084 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 17:26:14.714  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'NewGoalButton'); position: 0; useUnmergedTree: false.
06-30 17:26:15.009  2811  3084 I KASPRESSO: TEST STEP: "1. Open the goal creation screen" in AddNewGoalTest SUCCEED. It took 0 minutes, 1 seconds and 841 millis. 
06-30 17:26:15.009  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:16.257  2811  3084 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_1.png
06-30 17:26:16.258  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:16.258  2811  3084 I KASPRESSO: TEST STEP: "2. Enter the goal title" in AddNewGoalTest
06-30 17:26:16.259  2811  3084 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
06-30 17:26:16.259  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleInput'); position: 0; useUnmergedTree: false.
06-30 17:26:18.208  2811  3084 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 17:26:18.208  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleInput'); position: 0; useUnmergedTree: false.
